Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1150;Hwang Hee-chan;KOR;FW;RB Leipzig;Bundesliga;26;1996;2;0;49;0.5;0;2;0;0;0;0;08.sty;0;0;0;12;16;75;188;0;8;8;100;4;4;100;0;2;0;0;0;0;0;0;0;16;16;0;0;0;4;0;2;0;0;0;0;12;2;2;4;10;0;0;0;12;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;10;2;20;2;8;0;0;0;0;0;2;2;0;0;34;0;2;16;18;4;34;4;6;66.7;4;0;26;104;60;6;2;2;4;4;32;26;81.3;6;0;0;0;0;4;0;2;0;0;0;0;6;2;4;33.3
1151;Hwang Hee-chan;KOR;FWMF;Wolves;Premier League;26;1996;30;20;1816;20.lut;0.25;sty.44;0.59;41.4;0.17;0.42;15.sty;0;0;0;25.lut;31;81.3;415;72.5;13.cze;16;84.8;sie.81;10.mar;85.6;lut.28;03.gru;73;0.05;0.79;sty.34;0.69;0;02.mar;31;30.maj;0.5;0.05;0.1;maj.25;0.45;0.5;0.1;0;0;0;24.sty;mar.51;mar.42;mar.32;25.kwi;sty.34;0.1;0.45;25.lut;0.1;0.25;0.99;0.99;sty.68;sty.14;0;0.15;0.15;0.15;0.1;0.15;0.05;0;0.05;0;0;0.05;sty.39;0.69;0.45;0.84;0.1;0.64;sty.78;36.1;sty.14;13.maj;mar.17;23.maj;lut.62;cze.58;kwi.26;0.69;0;0;0.69;sty.24;lut.62;0.4;0.05;43.1;0.69;cze.53;22.lip;17.lip;mar.56;42.6;sty.53;lut.87;53.4;sty.63;0.5;31.9;203.2;109.6;05.lut;sty.88;01.kwi;lut.72;sty.78;45.5;33;72.6;cze.34;0.1;0;0;sty.58;lut.18;0.15;0.5;0.69;0;0;0;maj.15;0.5;sty.58;23.sie
1152;Silvan Hefti;SUI;DF;Genoa;Serie A;24;1997;16;14;1288;14.mar;0;0.35;0.07;20;0;0;16.kwi;0;0;0;28.maj;38.9;73.4;469.6;213.9;15;17.cze;85.7;10.mar;13.sie;74.6;lut.38;maj.31;44.7;0;0.84;02.sty;01.gru;0.49;mar.29;38.9;29.sty;wrz.79;0.56;0;kwi.97;0.28;01.kwi;0;0;0;0;18.kwi;11;wrz.51;lut.52;24.sie;sty.54;wrz.23;0.07;28.maj;0;0.63;sty.68;sty.68;01.kwi;sty.19;0.07;0;0.07;0.07;0;0;0;0;0;0;0;0;04.lut;lut.52;sty.96;sty.61;0.63;lut.38;kwi.48;53.1;02.sty;23.sty;lip.55;32.7;10.wrz;sie.74;mar.43;sty.96;0.28;0;sty.68;lut.52;cze.71;sty.82;0;51.1;lut.94;15.wrz;23.cze;14.sie;sty.26;41.7;0.98;sty.75;56;sty.19;0.14;23.sie;143.8;86.1;04.lut;01.kwi;0.35;0.7;sty.33;22.lut;19.sie;89;sty.96;0.07;0;0;sty.19;0.56;0;01.kwi;lut.52;0;0.07;0;wrz.79;0.98;sty.75;35.9
1153;Dominique Heintz;GER;DF;Union Berlin;Bundesliga;28;1993;7;7;467;05.lut;0;0.19;0.19;100;0;0;5;0;0;0;40.6;49.6;81.8;817.5;271.3;13.lip;14.cze;93.4;21.maj;24.kwi;88.2;5;sie.65;57.8;0;0.19;04.kwi;0;0;mar.27;49.6;47.7;sty.92;sty.35;0;09.kwi;0.77;0;0;0;0;0;37.3;kwi.23;08.sie;35;10.lut;02.maj;0.58;0.19;40.6;0.19;0.77;0.96;sty.73;0.38;0.38;0;0;0;0;0;0.19;0.19;0;0;0;0;0;sty.73;0.96;0.96;0.77;0;0.96;sty.54;62.5;0.58;12.lip;maj.38;42.4;cze.92;kwi.62;sty.15;sty.35;0.77;0;0.58;lut.69;kwi.42;kwi.42;0;60.4;maj.19;25.sie;36.2;lut.69;0.38;59;0.58;0.77;75;0.58;0;36;210.2;114.6;04.kwi;0;0;0.19;0.19;40.4;38.8;96.2;0.19;0;0;0;sty.35;0.58;0.19;0;0.96;0;0;0;lip.69;02.maj;lut.31;52
1154;Dominique Heintz;GER;DF;Freiburg;Bundesliga;28;1993;1;0;29;0.3;0;0;0;0;0;0;0;0;0;0;63.3;70;90.5;1766.7;470;cze.67;13.mar;50;36.7;36.7;100;20;20;100;0;0;mar.33;0;0;0;70;70;0;0;0;10;mar.33;0;0;0;0;0;56.7;0;13.mar;46.7;13.mar;mar.33;0;0;63.3;0;0;mar.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cze.67;mar.33;50;mar.33;mar.33;0;0;0;0;0;mar.33;mar.33;0;0;73.3;mar.33;56.7;16.lip;mar.33;0;73.3;0;0;0;0;0;40;183.3;126.7;0;0;0;0;0;60;60;100;0;0;0;0;0;0;0;0;0;0;0;0;10;cze.67;10;40
1155;Jordan Henderson;ENG;MF;Liverpool;Premier League;31;1990;35;29;2597;28.wrz;0.07;01.lip;0.21;19.kwi;0.06;0.33;23;0.03;0;0;63.9;76.2;83.8;1212.7;284.7;26.mar;29;90.6;28.sty;32.2;87.2;sie.41;12;69.8;0.17;sty.31;cze.47;sty.83;0.45;06.wrz;76.2;73.7;lut.46;0.76;0.24;10.kwi;sty.63;sty.66;0.1;0;0.07;0;53.7;wrz.24;13.mar;10.sty;61.9;lut.28;0.8;0.38;63.9;0.21;0.76;lut.32;01.lip;02.lip;lut.46;0.14;0.07;0;0;0.03;0.38;0.38;0;0;0;0;0;sty.28;0.83;0.24;0.9;0.14;0.55;sty.63;34;01.lip;16.lut;05.maj;31.mar;mar.43;sie.89;mar.84;01.lip;0.1;0;0.97;sty.49;lut.77;0.59;0;83.1;sty.56;10.wrz;51;26;sty.66;80.7;0.59;0.9;65.4;0.62;0.1;54.9;244.4;110.3;04.maj;02.kwi;0.14;0.66;0.45;69.2;63.9;92.3;mar.98;0.1;0;0;sty.14;0.45;0.1;sty.66;0.83;0;0;0;11.sty;0.8;0.69;53.5
1156;Liam Henderson;SCO;MF;Empoli;Serie A;26;1996;38;23;2020;22.kwi;0.09;sty.88;0.67;35.7;0.05;0.13;20.cze;0.09;0;0;26.sie;38;70.6;466.7;163.5;12.sty;14.cze;82.8;11.lut;14.wrz;75.4;lut.77;maj.89;47;0.13;sty.88;lut.46;sty.16;0.36;mar.44;38;34.7;03.mar;0.76;0;cze.47;0.98;lut.68;sty.29;0.13;0.67;0.13;25.lut;cze.16;cze.61;kwi.42;30.wrz;sty.38;0.58;0.27;26.sie;0.22;0.94;sty.92;sty.96;03.mar;02.maj;0.54;0;0.13;0.13;0;0.45;0.27;0.04;0;0.04;0.09;0;01.mar;0.63;0.4;0.45;0.18;0.22;0.85;26.mar;0.63;21.lut;mar.84;18.sty;maj.94;wrz.82;maj.45;01.gru;0.27;0;0.85;0.4;sty.43;0.76;0;45.8;sty.56;cze.92;19.wrz;22.sty;mar.39;42.6;0.13;0.45;30;0.18;0.09;28.sie;147.4;67.2;mar.75;sty.21;0.31;0.85;0.89;38.9;30.wrz;79.4;maj.71;0.18;0;0;lut.68;sty.16;0.13;lut.68;0.63;0.09;0.04;0;lip.54;0.71;0.94;43.2
1157;Jeff Hendrick;IRL;MF;Newcastle Utd;Premier League;30;1992;3;0;72;0.8;sty.25;sty.25;sty.25;100;1;1;27;0;0;0;30;33.8;88.9;565;37.5;12.maj;13.sie;90.9;13.sie;13.sie;100;mar.75;5;75;0;sty.25;02.maj;0;0;sty.25;33.8;33.8;0;0;0;cze.25;sty.25;0;0;0;0;0;30;02.maj;sty.25;0;32.5;0;0;0;30;0;0;sty.25;0;sty.25;sty.25;0;0;0;0;0;0;0;0;0;0;0;0;sty.25;sty.25;0;sty.25;0;sty.25;sty.25;100;0;20;02.maj;12.maj;02.maj;13.sie;mar.75;0;0;0;0;0;sty.25;sty.25;0;40;sty.25;5;25;11.mar;sty.25;40;sty.25;sty.25;100;sty.25;sty.25;31.mar;93.8;32.5;sty.25;0;0;0;sty.25;32.5;28.sie;88.5;sty.25;0;0;0;02.maj;0;0;0;sty.25;0;0;0;07.maj;sty.25;sty.25;50
1158;Wayne Hennessey;WAL;GK;Burnley;Premier League;35;1987;2;2;180;2;0;0;0;0;0;0;0;0;0;0;20;40;50;1059.5;925;0.5;0.5;100;4;4;100;15.maj;35.5;43.7;0;01.maj;02.maj;0;0;0;40;21.maj;18.maj;8;0;0.5;0;0;0;0;0;0;05.maj;1;33.5;4;30;0;0;4;20;0.5;01.maj;0;0;01.maj;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;43.5;34.5;41.5;2;0;0;25.maj;0;0;0;0;0;13;79;63.5;0;0;0;0;0;11.maj;11.maj;100;0;0;0;0;0;0.5;0;0;0;0;0;0;6;0;0;0
1159;Benjamin Henrichs;GER;DF;RB Leipzig;Bundesliga;25;1997;22;12;1143;12.lip;0.24;sty.18;0.47;40;0.2;0.5;14.sty;0;0;0;46.6;58.1;80.2;737.6;290.6;23.kwi;26.maj;88.1;19.lip;23;85.6;lut.36;maj.98;39.5;0.24;01.sty;mar.46;01.maj;0.24;cze.93;58.1;50.5;lip.64;0.47;0.16;sie.66;0.63;02.maj;0;0;0;0;39;11.sty;08.mar;12.mar;37;01.lut;lip.17;0.24;46.6;0.16;0.47;sty.65;sty.81;sty.89;sty.42;0;0;0.08;0.16;0.24;0.39;0.24;0;0;0.08;0.08;0;lut.91;sty.65;sty.73;0.63;0.55;sty.26;sty.81;69.6;0.55;15;kwi.96;33;maj.43;cze.61;lut.99;sty.57;0.16;0;sty.42;lut.13;05.kwi;sty.73;0;69.4;lut.28;16;33.9;22.wrz;mar.31;61.9;0.71;sty.18;60;0.79;0.08;45;207.3;113.3;05.lut;sty.34;0.39;0.87;01.lut;49.2;45.4;92.2;mar.31;0.24;0;0;01.sty;01.sty;0.08;02.maj;sty.65;0;0.08;0;lip.17;0.71;0.79;47.4
1160;Henrique;BRA;DF;Lyon;Ligue 1;28;1994;18;12;1105;12.mar;0;0.41;0;0;0;0;14.wrz;0;0;0;57.1;65.9;86.7;875;265.4;31.sty;33.8;92.1;21.maj;24.cze;87.5;03.sty;05.kwi;59.7;0.08;0.81;sty.79;0.73;0.33;03.sty;65.9;56.3;wrz.59;0.65;0;sie.21;0.16;sty.54;0.08;0;0;0;46.2;12;lip.72;48.9;kwi.15;sty.87;sie.86;0.33;57.1;0.24;0.57;sty.54;01.cze;sty.38;01.mar;0;0;0;0.08;0;0.16;0.16;0;0;0;0;0;sty.71;0.89;sty.22;0.33;0.16;0.41;01.mar;31.mar;0.89;12.lut;mar.41;28;kwi.88;kwi.39;lut.93;sty.95;0.16;0;sty.79;sty.54;mar.25;sty.54;0;75.4;sty.71;20.kwi;41.4;18.wrz;sty.71;66.1;0.73;01.mar;56.3;0.89;0.08;48.6;224.2;134.1;maj.53;02.mar;0.41;0.57;sty.14;53.7;49;91.4;sty.79;0.24;0;0;01.mar;01.mar;0;sty.54;0.89;0;0;0;sie.78;02.mar;0.98;67.6
1161;Dalbert Henrique;BRA;DFMF;Cagliari;Serie A;28;1993;28;27;2081;23.sty;0;0.43;0.04;10;0;0;16.lip;0;0;0;26.sty;36.7;71.3;529.3;195.6;wrz.57;11.lip;81.5;11.cze;15.sty;76.5;04.maj;sie.18;55;0.09;sty.26;sty.65;0.87;0.48;lut.55;36.7;28.sty;sie.53;0.69;0.04;kwi.94;sty.39;lut.21;0.56;0.13;0.17;0;17.lip;07.sty;11.wrz;23.wrz;02.wrz;sty.26;lip.27;0.35;26.sty;0.09;0.48;lut.25;sty.56;lut.16;sty.47;0.52;0.04;0.04;0.04;0.04;0.17;0.09;0.04;0;0.04;0;0;lut.25;sty.21;sty.21;0.78;0.26;0.26;sty.26;20.lip;1;18.lut;kwi.76;26.lut;cze.19;08.sty;03.wrz;02.gru;0.3;0;sty.82;sty.43;mar.68;01.mar;0;47.7;lut.34;11.mar;22.maj;16.mar;sty.21;39.3;0.52;sty.13;46.2;0.56;0;24;108.7;62.8;mar.29;0.95;0.13;sty.34;sty.13;29.sie;23.maj;79.1;lut.86;0.39;0;0;01.wrz;sty.26;0.17;lut.21;sty.21;0;0.09;0;07.sty;sty.65;sty.86;46.9
1162;Luis Henrique;BRA;FWMF;Marseille;Ligue 1;20;2001;20;7;699;07.sie;0;0.77;0.26;33.3;0;0;15.mar;0;0;0;21.mar;26.wrz;79;357.2;71;11.sie;13.cze;86.8;cze.92;sie.59;80.6;02.maj;mar.21;64;0.13;0.9;0.9;0.9;0.26;sty.79;26.wrz;25.sie;sty.15;0.13;0.26;kwi.23;0.9;sty.67;0;0;0;0;20.wrz;03.sie;lut.95;lut.56;22.kwi;0.77;01.mar;0;21.mar;0;0.77;sty.15;01.mar;sty.79;sty.28;0;0;0.26;0.13;0.13;0.13;0.13;0;0;0;0;0;0.51;0.38;0.26;0;0.26;0.26;0.9;28.cze;0.64;13.mar;mar.33;25;kwi.23;05.wrz;mar.21;0.77;0;0;0.77;sty.28;sty.79;0;0;35.8;0;maj.13;15.sie;18.sie;mar.21;34.6;0.64;lut.44;26.mar;0.9;0;28.sty;163.2;79.4;kwi.23;0.9;sty.15;sty.92;02.maj;40;27.sty;67.6;cze.15;0;0;0;0.77;0.51;0.64;sty.67;0.38;0;0;0;kwi.62;0.13;0.64;16.lip
1163;Matheus Henrique;BRA;MF;Sassuolo;Serie A;24;1997;25;10;1078;12;0;0.58;0;0;0;0;22.cze;0;0;0;46.4;51.2;90.7;798.6;188.9;22.cze;24;94.1;16.cze;17.maj;94.8;05.maj;cze.67;82.5;0.08;sty.17;4;0.58;0.08;mar.58;51.2;50.1;01.sie;0.5;0;cze.58;sty.33;0.42;0.42;0.17;0.17;0;43.3;kwi.25;mar.67;kwi.42;45.3;0.58;0.17;0.25;46.4;0;0.42;01.sie;0.75;03.sie;02.maj;0.08;0.17;0.08;0.08;0.17;0.25;0.25;0;0;0;0;0;sty.17;0.92;0.58;0.33;0.25;0.58;lut.25;25.wrz;sty.67;15.sie;kwi.25;27;kwi.17;wrz.17;lut.42;sty.25;0.08;0;sty.17;01.sie;lut.25;1;0;59.7;lut.58;12.wrz;36.8;15.mar;0.75;58.8;sty.58;lut.33;67.9;sty.58;0;48;256.3;131.3;cze.42;lut.42;0.42;0.5;sty.58;49.7;46.6;93.8;sty.92;0.25;0;0;sty.83;sty.42;0;0.42;0.92;0;0;0;cze.92;0.42;0.75;35.7
1164;Rico Henry;ENG;DF;Brentford;Premier League;24;1997;34;33;2776;30.sie;0.1;0.45;0.16;35.7;0.21;0.6;16;0;0;0;28.lut;39;72.2;465;156.9;14;16.cze;84.5;11;14.kwi;76.7;02.maj;maj.39;46.4;0;0.58;sty.62;0.81;0.42;lut.53;39;35;04.mar;0.23;0;06.kwi;0.39;sty.62;0;0;0;0;22.mar;lip.89;sie.83;28.wrz;lut.69;lut.76;03.sie;0.03;28.lut;0.06;0.91;sty.59;02.lis;sty.33;sty.17;0.03;0.1;0;0.03;0;0.03;0.03;0;0;0;0;0;sty.36;0.88;0.88;0.26;0.23;0.36;sty.17;30.cze;0.81;12.wrz;mar.44;26.sie;maj.94;kwi.32;02.cze;02.kwi;0.39;0;02.sty;sty.92;mar.28;02.sty;0.03;50.2;mar.18;16.maj;21;15.lip;01.mar;46.3;0.75;sty.72;43.4;0.78;0.03;30.sty;142.6;75.6;mar.51;01.lut;0.39;0.65;sty.43;31.lip;27.lut;86.1;sty.98;0.06;0;0;0.68;01.kwi;0.03;sty.62;0.88;0;0.03;0;10.sty;01.lut;sty.46;45.1
1165;Thomas Henry;FRA;FW;Venezia;Serie A;27;1994;33;23;2115;23.maj;0.38;lut.13;0.98;46;0.18;0.39;12.sie;0;0;0;12;19.kwi;61.8;190.9;31.mar;cze.34;wrz.32;68;mar.36;maj.49;61.2;sty.49;02.wrz;71.4;0.09;0.89;0.85;0.38;0.09;0.85;19.kwi;18.mar;01.lis;0.04;0.09;lip.83;0.34;0.43;0;0;0;0;wrz.74;maj.23;kwi.38;lut.85;wrz.96;01.kwi;0.09;sty.57;12;0.17;0.64;0.98;sty.19;sty.62;sty.28;0;0.04;0.09;0.21;0;0.26;0.17;0;0;0.09;0;0;0.3;0.21;0.04;0.13;0.13;0.17;0.43;40;0.26;10.sty;lut.98;29.kwi;0.72;kwi.34;05.cze;0.51;0.34;0;0.17;0.13;0.43;01.lis;0.04;33;sty.57;lut.89;18.kwi;13.mar;kwi.13;31.9;0.6;sty.23;48.3;0.6;0.17;19.sty;75.1;32.6;sty.87;0.6;0.38;mar.32;lut.51;46.8;25.kwi;54.2;kwi.85;0.26;0.04;0.04;lut.47;mar.32;0.6;0.43;0.21;0;0;0.09;mar.49;kwi.38;kwi.51;49.3
1166;Christophe Hérelle;MTQ;DF;Brest;Ligue 1;29;1992;23;23;1932;21.maj;0;0.23;0.09;40;0;0;9;0;0;0;33.4;38;88.1;800.2;220.2;cze.51;lip.21;90.3;18.maj;19.wrz;93.2;8;10.lut;78.5;0;0.14;lut.37;0.09;0.05;sty.58;38;35.9;02.wrz;2;0.05;mar.49;sty.35;0.05;0;0;0;0;28.wrz;lut.65;cze.42;4;30.cze;lut.42;0.09;0.09;33.4;0.14;0.84;0.74;0.19;0.47;0.47;0;0;0;0;0;0;0;0;0;0;0;0;02.wrz;0.98;sty.35;0.7;0.05;0.23;0.74;31.mar;0.51;08.cze;03.lip;35.7;maj.35;03.gru;0.14;sty.35;0.7;0.05;0.65;03.gru;maj.21;04.maj;0.05;48.7;lip.16;26.sie;23.lut;sty.35;0.47;46.7;0.05;0.19;25;0.09;0;27.maj;140.9;77.8;sty.95;0.28;0;0.05;0.28;28.sie;28.kwi;98.5;0.09;0.28;0;0;01.gru;sty.16;0.05;0.05;0.98;0;0;0;cze.42;sty.58;0.84;65.4
1167;Jérôme Hergault;FRA;DFMF;Lorient;Ligue 1;36;1986;8;5;352;03.wrz;0;0.26;0;0;0;0;15.sty;0;0;0;42.3;56.4;75;716.2;301.8;20;25.kwi;78.8;18.maj;23.cze;78.3;mar.33;maj.64;59.1;0;0.26;mar.33;sty.28;0.51;04.sty;56.4;44.4;12.sty;0.26;0;kwi.36;0.77;lut.82;0;0;0;0;28.maj;16.wrz;11;mar.59;36.2;04.sty;11.sie;0;42.3;0;sty.28;03.sie;sty.79;0.77;0.51;0.26;0;0;0;0;0;0;0;0;0;0;0;01.mar;0.51;0.26;0.77;0;0.26;0.77;33.3;0.51;wrz.74;lut.82;28.wrz;kwi.62;03.sie;02.maj;sty.79;0.26;0;sty.54;lut.56;mar.59;lut.82;0;66.9;lut.82;15.sty;33.3;23.sty;sty.54;55.1;0.51;sty.28;40;0.51;0;33.8;150.8;96.2;kwi.62;sty.54;0;0.77;sty.54;39.7;35.6;89.7;sty.79;0.51;0.51;0.26;sty.54;0.77;0;lut.82;0.51;0;0;0;10.maj;sty.79;02.maj;46.7
1168;Kike Hermoso;ESP;DF;Betis;La Liga;22;1999;1;1;90;1;1;2;1;50;0.5;1;10.lut;0;0;0;47;51;92.2;983;195;15;15;100;26;27;96.3;6;9;66.7;0;0;0;0;0;0;51;50;1;1;0;3;0;0;0;0;0;0;44;2;5;2;47;1;0;0;47;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;1;1;100;0;8;3;37.5;4;4;0;5;2;0;3;1;3;11;0;72;7;51;19;2;2;72;1;1;100;1;0;43;122;41;1;0;0;1;0;46;46;100;0;0;0;0;1;0;0;0;2;0;0;0;6;5;3;62.5
1169;Mario Hermoso;ESP;DF;Atlético Madrid;La Liga;26;1995;26;21;1865;20.lip;0.1;0.82;0.19;23.maj;0.12;0.5;15.lip;0;0;0;54.3;63.2;85.9;1112;394.6;20.sie;22.mar;93.3;23.cze;26;90.9;wrz.42;13.cze;69.4;0.05;0.39;kwi.35;0.53;0.1;04.cze;63.2;58.1;maj.17;01.mar;0;cze.28;mar.33;0.72;0;0;0;0;42.2;sie.84;12.lut;44.1;10;3;mar.86;0.34;54.3;0.19;sty.26;sty.35;0.92;01.lis;0.92;0.14;0;0.05;0;0;0.1;0.1;0;0;0;0;0;sty.35;0.72;0.97;0.29;0.1;0.82;02.mar;40.5;sty.21;08.maj;mar.29;38.6;05.lut;lut.51;0.97;01.kwi;0.14;0;sty.26;sty.74;03.wrz;lut.56;0.05;70.9;05.lut;27.lip;38.3;09.sie;01.kwi;66;0.24;0.43;55.6;0.29;0;44.9;223.1;125.8;mar.82;sty.35;0;0.34;0.43;49.2;47.5;96.6;0.63;0.29;0.05;0;sty.26;0.68;0.05;0.72;0.72;0;0;0.05;wrz.95;lut.95;sty.35;68.5
1170;Aridane Hernández;EQG;DF;Osasuna;La Liga;33;1989;15;12;1159;12.wrz;0;0.16;0;0;0;0;13.maj;0;0;0;33.6;41.4;81.3;789.1;257.1;07.maj;08.cze;82;18.kwi;21.lut;86.9;07.cze;10.wrz;69.5;0;0.16;lut.17;0;0;lut.48;41.4;39.8;sty.55;01.kwi;0;maj.58;sty.55;0.16;0;0;0;0;27.lut;mar.88;10.mar;maj.89;30.kwi;mar.57;0.08;0.23;33.6;0.08;sty.71;0.54;0.16;0.39;0.23;0;0.08;0;0;0.08;0;0;0;0;0;0;0;sty.24;0.7;01.wrz;0.16;0;0.47;01.sty;46.2;0.54;cze.67;lut.64;39.5;kwi.26;02.wrz;0.31;sty.55;0.78;0;0.78;lut.17;mar.41;maj.27;0;51.6;cze.51;28;25;01.wrz;0.31;50.1;0.08;0.16;50;0.08;0;26.lip;122.1;55.3;sty.71;0.08;0;0;0.16;29.sty;28.lut;97.1;0.08;0.08;0;0;0.47;0.39;0.23;0.16;0.7;0;0;0.08;wrz.84;02.kwi;sty.78;57.4
1171;Lucas Hernández;FRA;DF;Bayern Munich;Bundesliga;26;1996;25;25;2030;22.cze;0;0.18;0.04;25;0;0;09.lut;0;0;0;78.5;86.9;90.2;1557.1;545.9;26.wrz;28.cze;93.8;41.6;44.2;94.3;wrz.34;12.sie;73;0.04;0.44;lip.65;0.49;0.09;06.wrz;86.9;82.5;kwi.47;sty.59;0.04;lip.26;lut.21;0.22;0;0;0;0;70.7;cze.46;wrz.78;75.9;kwi.82;01.wrz;lut.88;0.18;78.5;0.13;0.62;sty.15;01.lut;01.lis;0.97;0;0;0;0.13;0;0.18;0.18;0;0;0;0;0;lut.65;sty.64;01.lis;01.lis;0.44;sty.19;sty.99;60;0.8;11.wrz;kwi.69;39.4;maj.49;kwi.78;sty.64;sty.81;0.58;0;sty.24;sty.81;kwi.47;lut.79;0.04;97.2;cze.77;38;58;sie.14;0.53;93.1;0.58;01.lut;56.5;0.62;0.13;69.1;361.5;193.9;cze.64;sty.73;0.09;0.18;0.49;73.1;72;98.6;0.4;0.31;0;0;01.lut;sty.86;0;0.22;sty.64;0;0;0;10.cze;02.gru;01.cze;66.7
1172;Luis Hernández;ESP;DF;Cádiz;La Liga;33;1989;16;15;1366;15.lut;0;0.39;0.07;16.lip;0;0;12;0;0;0;40.9;51.4;79.6;985;361.4;wrz.21;10.kwi;88.6;21.lip;23.lip;91.7;wrz.87;16.lip;59.1;0;0.26;lut.96;0.2;0;mar.36;51.4;44.2;lip.17;lut.24;0;maj.46;02.lip;01.gru;0;0;0;0;32.3;kwi.67;14.kwi;sty.97;40.3;mar.29;kwi.93;0.07;40.9;0.26;0.92;sty.25;0.66;0.92;0.53;0.39;0;0;0;0;0;0;0;0;0;0;0;0.53;0.39;0.46;0.07;0;0.33;0.46;71.4;0.13;04.sie;sty.91;39.7;lut.96;sty.78;0.07;0.72;0.26;0;0.46;sty.45;sty.97;lut.24;0;56.4;05.lut;25.sie;26.sie;cze.91;01.maj;49.3;0.07;0.07;100;0.07;0;31.6;149.5;75.3;0.99;0.07;0;0.2;0.07;35.7;35.2;98.7;0.07;0.33;0;0;0.79;0.46;0.07;01.gru;0.39;0;0;0;sie.68;sty.32;0.92;58.8
1173;Mario Hernández;ESP;DFFW;Rayo Vallecano;La Liga;23;1999;9;5;395;04.kwi;0.23;0.68;0.23;33.3;0.33;1;13.sie;0;0;0;32;46.8;68.4;580.2;286.4;13.wrz;15.wrz;87.1;14.mar;19.sty;75;mar.18;10.lut;31.sty;0;0.45;lut.95;sty.14;0.23;lut.95;46.8;37;wrz.77;0.68;0;kwi.32;sty.36;lut.95;0;0;0;0;21.sie;10.lut;14.sie;kwi.55;29.sty;mar.64;09.wrz;0;32;0.23;sty.82;lut.27;0.91;0.91;0.68;0;0;0.23;0;0;0.23;0.23;0;0;0;0;0;sty.14;0.91;0.91;0.23;0;0.45;sty.59;28.cze;sty.14;12.lip;04.wrz;32.1;maj.23;mar.86;mar.64;sty.14;0;0;sty.14;lut.27;mar.41;0.91;0;58;02.maj;17.lip;27.mar;15.wrz;0.91;48.4;0.45;sty.59;28.cze;0.45;0.23;31.sie;137;88.6;lut.73;0.45;0;lut.73;0.91;33;31.sty;94.5;0.91;0.68;0;0;sty.14;0.91;0.23;lut.95;0.91;0;0;0;10.wrz;0.91;sty.36;40
